FIGHTER,ELO
igor pokrajac,993.7332676229254
james irvin,984.0
jake ellenberger,978.9442693226082
john howard,960.2565970164321
takanori gomi,982.0563635257984
tyson griffin,968.736306793522
brian stann,997.1281248226185
mike massenzio,966.660741716245
charles oliveira,1102.7133499012796
darren elkins,1043.5324790743218
yushin okami,1011.0954278462443
mark munoz,1046.4125274892813
jon jones,1114.8594468325812
vladimir matyushenko,984.0
jacob volkmann,1027.0711594679894
paul kelly,984.7023986633528
matthew riddle,1015.2976013366472
damarques johnson,1000.6363624771305
rob kimmons,999.263693206478
steve steinbeiss,984.0
ricardo romero,1000.0
seth petruzelli,984.0
daniel roberts,1031.263693206478
forrest petz,984.0
brock lesnar,1016.0
shane carwin,969.4695015289755
kendall grove,982.5612260339534
goran reljic,984.0
chris lytle,1016.0
matt brown,1049.966758342482
brendan schaub,998.5304984710245
chris tuchscherer,984.0
george sotiropoulos,999.2975328274754
kurt pellegrino,984.0
gerald harris,1016.0
david branch,970.196563922652
chris leben,985.5310238165291
yoshihiro akiyama,968.0355377758124
jon madsen,1031.263693206478
karlos vemola,968.7449812431552
stephan bonnar,1032.0
krzysztof soszynski,986.8397832730943
kyle watson,1016.0
sako chivitchian,984.0
jonathan brookins,999.2298601853573
michael johnson,969.119655281144
cody mckenzie,1000.7024671725246
aaron wilkinson,984.0
ian loveland,1016.0
tyler toner,984.0
rich attonito,968.0338330211207
leonard garcia,999.263693206478
nam phan,941.0444164172359
nick pace,999.263693206478
will campuzano,984.0
demian maia,1043.504890627163
rick story,1059.729526119354
johny hendricks,982.0392543079944
pablo garza,969.3743095809731
fredson paixao,984.0
dustin hazelett,969.4387739660466
phil davis,1045.1954496251453
rodney wallace,984.0
matt hughes,1031.263693206478
ricardo almeida,1000.0015615270962
tim boetsch,972.5909427393577
todd brown,968.736306793522
stefan struve,1014.2232328695642
christian morecraft,984.0
dennis hallman,1016.0338330211207
ben saunders,984.5038103137549
junior dos santos,1058.8686521455656
roy nelson,987.6124126162132
clay guida,1026.8797718549424
rafael dos anjos,997.138340774503
jon fitch,1000.0322843150211
thiago alves,980.9506851662944
charlie brenneman,938.9026877489897
tj grant,985.5003710686486
mike guymon,1016.0
yoshiyuki yoshida,984.0
joe doerksen,999.263693206478
tom lawlor,987.4908605686875
josh koscheck,1000.768448701424
paul daley,984.0
matt mitrione,1044.3156969780803
kevin ferguson,984.0
mauricio rua,1039.4549615738251
lyoto machida,996.5796733345655
alan belcher,1032.0015615270963
patrick cote,953.4165535554906
joey beltran,982.625859834259
tim hague,984.0
jeremy stephens,980.9420352022594
sam stout,1000.7024671725246
john salter,1016.0
jason macdonald,984.0
marcus davis,1000.0
jonathan goulet,984.0
mostapha al-turk,984.736306793522
terry etim,1000.0338330211207
matt veach,983.263693206478
alexander gustafsson,1012.1537041289802
brad blackburn,983.263693206478
renzo gracie,984.736306793522
anderson silva,1001.8704401782697
nick osipczak,985.4358728782763
frankie edgar,994.1574275237294
bj penn,941.8631449239546
jim miller,1030.701552189834
sean mccorkle,984.736306793522
mark bocek,1030.5935102933543
sean pierson,1031.8985936640236
mac danzig,968.8008566861816
joe stevenson,968.736306793522
john makdessi,958.8486222158684
pat audinwood,984.0
dan miller,998.6060117021786
georges st-pierre,1033.476483917887
martin kampmann,1032.6994299202138
paulo thiago,953.470988881707
mario miranda,1016.0
david loiseau,984.0
mike pyle,998.0302192971828
jesse lennox,984.0
carlos condit,1025.444450169455
rory macdonald,1016.0040540397213
matt wiman,981.9014392350814
ben rothwell,1013.099086021986
gilbert yvel,984.0
james wilks,1016.0
peter sobotta,1000.736306793522
claude patrick,1000.0339081301692
ricardo funch,984.0
mirko cro cop,1032.0339081301693
pat barry,941.5705425479754
rich franklin,984.0
chuck liddell,984.0
evan dunham,1025.2937101384177
dong hyun kim,1047.9004903021987
nate diaz,978.008078155476
brad tavares,993.0893798367431
phil baroni,984.0
antonio mckee,984.736306793522
diego nunes,1014.598171113783
mike brown,1000.0
dustin poirier,1115.03513267012
josh grispi,953.472613587044
greg soto,984.736306793522
anthony johnson,1013.4500685847603
shane roller,988.295206768262
mike easton,997.1590058484772
byron bloodworth,984.0
walel watson,999.263693206478
joseph sandoval,984.0
josh neer,981.8687022811796
keith wisniewski,968.736306793522
yves edwards,970.0434608209865
rafaello oliveira,984.7023986633528
paul sass,1015.263693206478
dominick cruz,1047.773382818687
demetrious johnson,1044.2984698408075
melvin guillard,982.8766084305546
anthony njokuani,984.701089387644
andre winner,984.0
dennis siver,1029.1363655524037
brian bowles,1031.263693206478
takeya mizugaki,1046.498139038028
jeff hougland,999.2975328274754
donny walker,984.0
tito ortiz,968.832773470397
ryan bader,994.6115179803055
wanderlei silva,1001.4023736484061
aaron simpson,1029.034447139662
damacio page,970.1400877474892
dongi yang,1016.736306793522
reuben duran,1000.0338330211207
cb dollaway,1017.398210761855
danny castillo,997.4210373575987
rousimar palhares,1018.1026917021562
diego sanchez,1049.7411635545755
cyrille diabate,981.8614617727702
steve cantwell,968.0
thiago tavares,985.9201623042447
chris weidman,1009.2170588959077
alessio sakara,984.0
michael bisping,1016.0803521381152
jason miller,984.0
john albert,982.5612260339534
dustin pague,984.7023986633528
marcus brimage,983.328393133764
stephen bass,984.0
roland delorme,1031.263693206478
josh ferguson,969.4695015289755
bryan caraway,990.0005299612277
dustin neace,984.0
diego brandao,1013.8543599444442
dennis bermudez,1014.0593804996199
john dodson,1008.1469476017733
tj dillashaw,1020.5752730310643
tony ferguson,1010.1169910688776
johnny bedford,1016.0
louis gaudinot,985.4387739660466
steven siler,1014.5948576686754
josh clopton,969.4695015289755
kyle kingsbury,1032.0
fabio maldonado,986.8036030006671
danny downes,985.4695015289755
chris cope,982.5612260339534
chuck o'neil,984.0
shamar bailey,1016.0
ryan mcgillivray,984.0
scott jorgensen,1016.0272126162452
ken stone,969.5031170912061
clay harvison,999.2975328274754
justin edwards,970.7030217579526
ramsey nijem,1018.1029490572711
george roop,982.6611662151918
ed herman,1035.6641905858023
tim credeur,984.0
anthony pettis,1035.2884649272344
francisco rivera,1001.9749685780433
miguel torres,1016.0
antonio banuelos,984.0
donald cerrone,1032.9554690656787
norifumi yamamoto,968.0338330211207
vitor belfort,998.942219122422
forrest griffin,1031.2011346597722
carlos eduardo rocha,970.1763210250041
mike pierce,1011.9643226087039
kenny robertson,986.7698811674987
chad mendes,1026.555725097009
michihiro omigawa,969.4387739660466
paul taylor,1016.0
gabe ruediger,984.0
philip de fries,1013.8617341520089
rob broughton,984.0
jason young,968.7668102976842
john maguire,1015.263693206478
papy abedi,1000.736306793522
edward faaloloto,983.2298601853573
chris cariaso,1054.4515770614962
vaughan lee,971.045503328618
anthony perosh,1021.9608195969737
renan barao,1046.5304984710244
brad pickett,986.6576905772323
che mills,1016.736306793522
rani yahya,1007.3474690347095
rafael natal,994.111240578527
paul bradley,968.7377932489214
brian ebersole,1015.8398030603227
costas philippou,1073.72627415015
jorge rivera,984.0
rashad evans,939.2326664274165
matt hamill,968.7991052860298
ivan menjivar,984.6700520535896
joe lauzon,1014.1735671594873
jose aldo,1036.8113916886045
kenny florian,1001.4695015289755
chael sonnen,1002.1381943879226
gray maynard,975.3691960644464
eric schafer,984.7701398146427
stipe miocic,1045.584313524661
tiequan zhang,968.0338330211207
jorge santiago,983.9984419318032
jake hecht,983.3666612138774
rogerio nogueira,1014.531988686759
chan sung jung,989.0438951682568
mark hominick,984.0
jared hamman,968.736306793522
john cholish,999.9660918698308
mitch clarke,940.3810411923727
yves jabouin,1016.736306793522
nik lentz,1016.012306635938
frank mir,982.630251134961
minotauro nogueira,940.7446398061728
nick ring,998.5304984710245
james head,984.0
vagner rocha,969.4402605591363
dave herman,999.263693206478
jon olav einemo,984.0
jesse bongfeldt,984.736306793522
aaron rosa,984.6715385086675
matt lucas,983.2621349933266
darren uyenoyama,1030.528948084379
benson henderson,1063.7408138167405
alex caceres,1008.9182852756959
cole escovedo,984.0
ricardo lamas,961.0287270474722
cub swanson,1023.4811517711294
erik perez,1028.6236620911757
michael chiesa,1057.218545145647
al iaquinta,988.1682872928349
sam sicilia,1030.4968829087939
cristiano marcello,968.736306793522
justin lawrence,999.3266772182659
john cofer,984.0
daron cruickshank,1043.8812196610363
chris tickle,984.0
myles jury,1016.6014466502313
chris saunders,984.0
max holloway,1110.8590750248384
pat schilling,984.0
joe proctor,982.882216897101
jeremy larsen,984.0
court mcgee,987.416924970836
shawn jordan,1016.823756729443
oli thompson,969.4695015289755
joseph benavidez,1048.0721286169714
yasuhiro urushitani,967.9660918698308
tj waldburger,1016.7009121009784
andrew craig,1047.2023033648038
kyle noke,984.7023986633528
james te huna,1015.1655661941751
cole miller,953.1908612699758
daniel pineda,983.9613924987973
mackens semerzier,984.0
nick penner,984.7701398146427
michael kuiper,983.9661669788793
stephen thompson,1038.4461643960344
dan stittgen,968.736306793522
fabricio werdum,1019.2350456710403
henry martinez,985.4079109400335
nick diaz,985.4695015289755
clifford starks,984.736306793522
edwin figueroa,999.1980438415374
jamie varner,970.2364766989798
mike swick,984.7949919396909
john moraga,1031.816267614102
ulysses gomez,984.0
manvel gamburyan,998.6582355225513
brandon vera,984.736306793522
nick denis,984.736306793522
john hathaway,1000.7669769513993
pascal krauss,984.0
tim elliott,1002.0188197212926
lavar johnson,1014.6293345293832
john lineker,1047.9986380400342
bart palaszewski,983.9323273572415
antonio silva,1031.4732790477312
travis browne,956.0149554355811
jay hieron,969.3420399246539
jussier formiga,979.6036868816994
marcus levesseur,999.263693206478
carlo prater,984.0
phil harris,984.7009121009784
khabib nurmagomedov,1083.446767569489
gleison tibau,941.698585797115
fabricio camoes,983.9307790986094
yoislandy izquierdo,983.263693206478
riki fukuda,986.5781506746793
john alessio,982.6658107705109
cung le,1030.527386412956
ian mccall,986.9027561526073
tim means,974.3761246579736
justin salas,968.6395379879857
bernardo magalhaes,983.2621349933266
buddy roberts,1000.0
caio magalhaes,999.1479317457708
erick silva,968.6025571755961
seth baczynski,997.1911015860958
lance benoist,1000.736306793522
matt grice,1016.736306793522
jared papazian,983.263693206478
eddie wineland,1000.0032051774605
abel trujillo,1025.093575222776
raphael assuncao,1053.7567343440633
tom deblass,983.3601442198809
motonobu tezuka,983.9660918698308
jon tuck,1012.4267517725933
francis carmont,1015.9970226602911
issei tamura,984.8038941039856
marcelo guimaraes,983.3928710906648
chico camus,999.2960431234958
tommy hayden,984.0353200111732
eiji mitsuoka,983.2960489542627
bobby green,1063.2181444602663
isaac vallie-flagg,1016.0290337458063
tyron woodley,1031.3364291639164
dustin kimura,1031.9676535999324
alistair overeem,982.4068787068915
mizuto hirota,925.008296812285
kazuki tokudome,982.6274836449334
mark hunt,975.3383602726894
siyar bahadurzada,1016.6169954083571
hyun gyu lim,999.9338821267781
hector lombard,955.6132483209389
thales leites,1011.9707077853061
tom watson,952.030573103265
sergio moraes,1039.9009403472453
neil magny,1022.728938694483
iliarde santos,968.7925296848734
viscardi andrade,1029.7747878484215
bristol marunde,984.0
cezar ferreira,1058.1076791770754
thiago santos,979.4050539900861
vinny magalhaes,985.4679565897214
amanda nunes,1122.5880205608762
sheila gaff,984.0
francimar barroso,983.2976013366472
ednaldo oliveira,984.0
jose maria,968.7054466391583
glover teixeira,1057.0575549202579
piotr hallmann,1013.1543370604833
francisco trinaldo,961.259401458144
sean spencer,984.7491664373687
yuri villefort,984.0
ivan jorge,1015.263693206478
elias silverio,1016.0
joao zeferino,984.0
ali bagautinov,1016.5444367557203
marcos vinicius,984.0
kevin souza,999.9660918698308
felipe arantes,1002.7850918530874
tor troeng,986.0487607680917
jacare souza,998.0377198743356
lucas martins,1031.263693206478
junior hernandez,984.0
besam yousef,983.263693206478
adam cella,983.2944933289243
akira corassani,1000.7920615693968
robert peralta,970.7283389709424
ross pearson,985.9968324419214
ryan couture,984.0
reza madadi,1030.7174047347994
conor mcgregor,1035.196279577328
gegard mousasi,1047.9093303989573
ilir latifi,1009.5223411809486
adlan amagov,1016.0
chris spang,984.0
ryan laflare,1053.5608603943435
benny alloway,984.0
tim kennedy,1015.902960001171
roger gracie,984.0
edson barboza,1003.1547044374581
david mitchell,970.079461843373
norman parke,1016.7024671725246
gabriel gonzaga,1002.0884790190734
brian melancon,1016.736306793522
derek brunson,1027.2243657544095
brian houston,984.0
rustam khabilov,1075.523675499749
jorge masvidal,991.3419991734809
james krause,986.8525182294328
yoel romero,1020.1283340759366
ronny markes,984.0
colton smith,984.736306793522
lorenz larkin,987.9778340132855
chris camozzi,956.8637169048329
alexis davis,1000.2500930483179
liz carmouche,984.7000311223243
justin scoggins,1002.1398206579395
richie vaculik,968.736306793522
alex garcia,1031.266519958003
ben wall,967.2605192154915
soa palelei,1027.3885548922456
bethe correia,983.3946316388601
julie kedzie,984.0
clint hester,997.191361686605
dylan andrews,953.4387739660466
krzysztof jotko,1011.8553170483159
bruno santos,985.4387739660466
leonardo santos,1057.0027561769084
william patolino,984.0
jason high,970.8971459726015
antonio braga neto,1000.0
anthony smith,979.4258123079383
thiago silva,1030.4984275414456
rafael feijao,970.6769417046019
rodrigo damm,984.0295312344892
daniel sarafian,1000.0
eddie mendez,984.0
godofredo pepey,968.7668102976842
rony jason,969.1855686339567
mike wilkinson,1000.736306793522
ildemar alcantara,981.8916997007034
leandro silva,982.7339514254419
jake shields,1017.500033917921
yan cabral,968.2276428277817
igor araujo,1031.9661669788793
alan patrick,1012.1086571928801
garett whiteley,984.0
dustin ortiz,1071.8473758579269
brandon thatch,981.3761783395328
santiago ponzinibbio,1017.0871891057715
adriano martins,1013.0094312546305
omari akhmedov,1010.4759544265326
thiago perpetuo,984.0
gasan umalatov,953.590142698185
andy enz,984.736306793522
danny martinez,970.706040490936
nick catone,1015.263693206478
rashid magomedov,1014.6448235080118
anthony rocco martin,1018.7901026910257
kevin lee,1004.934898754742
urijah faber,1002.896779520733
hatsu hioki,998.5613680423422
mark eddiva,1016.0
jumabieke tuerxun,952.7378615551299
an ying wang,1016.0
albert cheng,984.0
zhang lipeng,1016.0
sai wang,984.0
yui chul nam,1015.93374238902
jon delos reyes,984.7702114067409
russell doane,980.5913001330433
leandro issa,969.4695015289755
tatsuya kawajiri,999.8840833345547
sean soriano,968.736306793522
kyung ho kang,1015.1535573923406
shunichi shimizu,984.0
katsunori kikuno,1016.0
quinn mulhern,984.0
will chope,984.8301951953662
tarec saffiedine,1000.7638460265663
mairbek taisumov,1041.1564265307431
tae hyun bang,968.736306793522
kiichi kunimoto,1000.0
luiz dutra,984.0
royston wee,1016.0
dave galera,984.0
nordine taleb,1013.7196774344014
li jingliang,953.0709396145055
marcin bandel,969.4387739660466
albert tumenov,1023.555518194647
matt dwyer,984.0
olivier aubin-mercier,1031.1046564169214
jake lindsey,969.4343273446879
chad laprise,1012.4321916130274
yosdenis cedeno,968.0339081301692
paul felder,1028.7797853366644
jason saggo,985.5596043996105
mitch gagnon,983.2976013366472
roman salazar,968.736306793522
niklas backstrom,983.263693206478
magnus cedenblad,1030.5304984710244
scott askham,968.736306793522
nico musoke,1016.0
alexander yakovlev,984.0323466030729
charles rosa,942.1440544066693
elias theodorou,983.9286848331463
zubaira tukhugov,1015.2636932064779
ernest chavez,984.0
gunnar nelson,1039.3716520226967
cathal pendred,995.826704966719
jan blachowicz,1009.5527224208355
chris kelades,1016.0
paddy holohan,984.0
uriah hall,1015.9146098915801
luke zachrich,999.263693206478
guilherme vasconcelos,984.0
ronda rousey,1032.7023986633528
rob font,1014.5494325574443
derrick lewis,1025.1784450037512
chas skelly,1013.2809394904407
chris beal,1016.0
tateki matsuda,984.0
eddie gordon,999.263693206478
dhiego lima,1020.0766056872245
juan puig,984.8023461129183
corey anderson,1080.4444206037558
matt van buren,984.0
jesse ronson,968.6353166394706
guto inocente,969.3056789109338
patrick walsh,1016.0
daniel spohn,984.0
sarah moras,1029.9218492642765
alexis dufresne,968.736306793522
josh samman,1033.4339974773745
raquel pennington,1003.219449076078
ashlee evans-smith,1001.4706036619809
robbie lawler,1016.3392964634334
gilbert melendez,954.193346387743
sergio pettis,1045.0289965828724
matt hobar,984.0
clay collard,999.263693206478
alex white,1012.4665150038634
justin jones,969.4387739660466
todd duffee,1016.0
anthony hamilton,968.736306793522
yaotzin meza,1001.4387739660466
bobby voelker,983.263693206478
patrick cummins,1029.2502447238403
roger narvaez,984.0
sam alvey,973.2951780086685
chris clements,1016.0
vik grujic,968.736306793522
daniel kelly,999.9218375778588
jake matthews,1018.5727779795201
walt harris,965.5511757697444
louis smolka,987.93446867343
robert whittaker,1035.6073491316104
luke rockhold,984.3919119214788
claudio silva,1045.8278203282016
bradley scott,984.03228454216
neil seery,955.6997958927876
jimi manuwa,975.0915654104632
luke barnatt,1016.0
mats nilsson,968.6731713902526
danny mitchell,984.7701398146427
diego rivas,1014.5612260339533
rodolfo rubio,984.0
colby covington,1035.5419262748287
wagner silva,984.0
trevor smith,973.8699967685207
warlley alves,1076.8494636353612
alan jouban,972.107749621746
leon edwards,1061.2258948884353
jorge de oliveira,983.263693206478
thomas almeida,1047.3252457879375
tim gorman,984.0
juliana lima,1016.6022159812175
nina ansaroff,988.8796566781498
anthony lapsley,984.736306793522
zak cummings,999.1819724587626
kyoji horiguchi,1044.4525038320687
darrell montague,968.0646430216967
johnny eduardo,955.4008431667667
ruan potts,985.3470707027627
erik koch,985.3426437336715
beneil dariush,1042.774298738942
jared rosholt,1013.838210727626
daniel omielanczuk,942.7083140678589
jim alers,1016.0
alan omer,984.0
aisling daly,1016.0
alex chambers,986.1721796717983
heather jo clark,983.2976013366472
bec rawlings,970.0981182471427
angela hill,965.0529414418996
emily peters kagan,967.9338759867627
carla esparza,986.5971792580771
rose namajunas,999.47606628068
felice herrig,992.0512665173253
lisa ellis,968.0
tecia torres,1044.5710843495262
angela magana,953.4387739660466
yancy medeiros,1061.8208206143322
jessica penne,996.6898866356984
randa markos,940.3292869676428
iuri alcantara,1028.2659575020648
vitor miranda,1031.8048135848853
reginaldo vieira,998.4649571105302
dileno lopes,968.736306793522
guido cannetti,1012.7073212146408
hugo viana,984.0
claudia gadelha,998.077425470906
jessica aguilar,984.0
glaico franca,1016.0
fernando bruno,966.6615194183718
daniel cormier,1070.4401632958488
jared cannonier,1034.7803977352628
marion reneau,1012.4948650234664
cody garbrandt,1003.9851989880196
nate marquardt,971.3587580990031
ruslan magomedov,1016.7699287648213
yair rodriguez,1047.8442724152005
dan hooker,1077.2126596226826
viktor pesta,968.8605369895284
islam makhachev,1055.8630099300105
julianna pena,1045.3482302560058
jessica eye,944.3294279447932
sage northcutt,1059.729526119354
francisco trevino,984.0
diego ferreira,1009.1661474561353
milana dudieva,984.736306793522
ron stallings,998.5935102933543
tim johnson,1031.934144531331
shamil abdurakhimov,972.8302719923349
lauren murphy,1030.5026041810786
paige vanzant,983.4894347465663
andrei arlovski,988.7593218785615
tiago trator,999.9661669788793
joaquim silva,1028.1358480488343
nazareno malegarie,984.0
joe riggs,1016.7040225341211
jose quinonez,1013.7059871521245
leonardo morales,984.0
jake collier,1010.5996672378797
ricardo abreu,984.0
chris wade,1000.0641286179499
christos giagos,996.0836041857647
brian ortega,1065.5596252346284
dan henderson,998.793041212118
anthony birchak,998.5612260339534
joe soto,975.1865010025708
jimmie rivera,1014.5936512308448
pedro munhoz,948.4963099048034
matheus nicolau,1060.266929876148
bruno korea,984.0
alex oliveira,995.4742452265153
gilbert burns,992.6122167444998
johnny case,1015.9365853327519
sara mcmann,986.076660866695
willie gates,985.2774038498953
ray borg,1000.2302730317996
geane herrera,1000.736306793522
jonathan wilson,984.0338330211207
chris dempsey,984.0
ovince saint preux,983.2422908476364
frankie saenz,1000.139670266794
sirwan kakai,984.0
scott holtzman,999.9302155052376
anthony christodoulou,984.0
marlon vera,1029.0030888386632
oluwale bamgbose,969.4064897066457
james vick,1016.398537604506
ben nguyen,994.970360054937
alptekin ozkilic,984.0
sean o'connell,1004.3758078319106
kailin curran,982.6933300745062
jonavin webb,983.263693206478
brendan o'reilly,998.5612260339534
aljamain sterling,1074.978908386469
phillipe nover,970.1721796717983
andreas stahl,983.2975328274754
danny roberts,995.9682417627545
nathan coy,984.0
cody pfister,1000.7023986633528
maryna moroz,1041.736133680254
joanne calderwood,942.8723158160768
pawel pawlak,1016.0
sheldon westcott,1000.736306793522
stevie ray,1000.7989062095902
bartosz fabinski,999.263693206478
garreth mclellan,956.2498831792906
taylor lapilus,1060.9077251501722
rocky lee,984.0
mickael lebout,985.5006326860454
damian stasiak,1016.0630730326734
alexandra albu,1016.0
izabela badurek,984.0
henry briones,956.2221530563901
ryan hall,1029.29352919507
artem lobov,968.0
julian erosa,1020.8331340733482
marcin wrzosek,984.0
jason knight,954.8886688442575
joby sanchez,968.0338330211207
konstantin erokhin,984.0323466097632
chris gruetzemacher,985.3212077713122
abner lloveras,984.0
kamaru usman,1064.0937032325419
hayder hassan,984.0
maximo blanco,1016.0
mike de la torre,968.8007303670888
michelle waterson,983.375403619384
michael graves,1016.0
vicente luque,1074.5813140873
jerrod sanders,999.9591446657369
george sullivan,1016.0
dominic waters,968.8330779185405
magomed mustafaev,1015.9460394135457
jocelyn jones-lybarger,984.736306793522
marcio alexandre junior,983.3296897362337
brandon moreno,1016.8131667566564
curtis blaydes,1086.270491795518
cody east,984.0
elizeu zaleski dos santos,1041.7655704800563
keita nakamura,1000.736306793522
andre fili,999.9135196798499
hacran dias,984.0
tamdan mccrory,983.2963154695954
zak ottow,1029.7050298055258
joshua burkman,985.4387739660466
will brooks,984.8506140975686
ketlen vieira,1027.1559530283475
kelly faszholz,984.0
ion cutelaba,984.7858738481546
henrique da silva,1013.7605843186176
joachim christensen,984.0
drew dober,975.6716940977825
alex morono,1016.8696695658631
michinori tanaka,998.5612260339534
joe duffy,987.7619422547043
michael mcdonald,1016.0
masanori kanehara,984.0
tony sims,985.3036405021932
justine kish,1013.1574482106641
edgar garcia,983.263693206478
josh barnett,1016.032690484244
veronica macedo,999.2342488510648
nick hein,982.6858339439019
jack hermansson,1014.3304026894493
jessin ayari,999.263693206478
jimmy wallhead,968.736306793522
nicolas dalby,985.5019140259614
henry cejudo,1055.262600693808
jamie moyle,983.2062844301321
matt schnell,971.1806086963618
dong hyun ma,984.7388949078671
ryan benoit,984.7710807523655
elvis mutapcic,983.263693206478
devin clark,1007.4608771100644
josh stansbury,1000.736306793522
jessica andrade,1038.9541972290008
sean strickland,1070.978216078586
tom breese,1000.736306793522
polo reyes,1031.9969622132262
gian villante,944.1994327415947
miesha tate,1002.1088948182386
holly holm,992.7390201763716
teruto ishihara,982.2558146670729
douglas silva de andrade,1030.6201335087987
jason novelli,969.4724667690514
marcin held,986.7815368959924
enrique barzola,1032.064918315953
chris avila,984.0
martin bravo,983.0071279602679
claudio puelles,1002.9011198709304
marco beltran,983.3920082394175
max griffin,981.8758796024464
erick montano,984.0
alex nicholson,969.4431585306983
alexa grasso,1031.2901664733058
kj noons,983.263693206478
zach makovsky,973.9593422532365
misha cirkunov,998.6554620702562
mickey gall,969.5397894205194
mike jackson,1000.0339081301692
noad lahat,984.736306793522
damian grabowski,984.084524400125
david teymur,1042.551399803208
dominique steele,968.8288416730462
joe gigliotti,968.2238388777625
justin ledet,999.263693206478
chase sherman,999.3651193864582
marcin tybura,1054.635611464459
danielle taylor,969.4387739660466
horacio gutierrez,984.7701398146427
alvaro herrera,968.0338330211207
belal muhammad,1065.4014583800306
lukasz sajewski,968.0661178732219
mehdi baghdad,982.5695882244836
alberto mina,1000.6032559238424
eddie alvarez,1018.844901758311
karolina kowalkiewicz,979.4760230119521
germaine de randamie,1043.779591661049
anna elmose,984.0
josh emmett,1002.0754448780187
nikita krylov,1019.5576371236981
ulka sasaki,998.6010715045444
tatiana suarez,1078.5140356049565
amanda cooper,952.9129718196031
andrew holbrook,954.8425517893357
andrew sanchez,1028.1271827808994
khalil rountree jr.,1056.684912969982
joanna jedrzejczyk,971.838798346609
anton zafir,983.263693206478
dooho choi,1015.4693404903984
cory hendricks,983.263693206478
davey grant,1033.903515097743
mike perry,986.2876797168354
mirsad bektic,1000.2125344646843
marc diakiese,1026.2218594893927
enrique marin,985.4358728782763
cain velasquez,1016.0676726427585
kelvin gastelum,1032.4806882508146
cat zingano,971.5370896131064
frankie perez,984.7009835633143
saparbeg safarov,953.4711938123464
gerald meerschaert,990.5896168042698
randy brown,1041.2191559350636
brian camozzi,969.4695015289755
ashley yoder,986.0473426146355
