FIGHTER,FPI,AGE
aalon cruz,1.557473346150965,
aaron phillips,0.7953100856620292,33.0
aaron riley,2.157221541339136,
aaron simpson,3.1469892911005233,
abdul razak alhassan,1.9470768628038866,38.0
abdul-kareem al-selwady,1.3971906665211655,28.0
abel trujillo,2.7087794481164864,
abner lloveras,0.8526169307151417,
abu azaitar,1.080077508580361,37.0
abubakar nurmagomedov,1.0732148630989071,33.0
abus magomedov,2.071677926506171,34.0
adam fugitt,1.846623569314401,
adam milstead,1.1270276233787606,31.0
adam wieczorek,2.1221135063818877,26.0
adrian yanez,2.1171387847170773,30.0
adriano martins,2.2484004421076405,33.0
aiemann zahabi,1.483462812895617,36.0
ailin perez,1.9140021170327182,29.0
aisling daly,1.5165785300882897,
aj cunningham,1.1450767305407221,
aj dobson,1.7323031578855013,32.0
aj fletcher,1.6950396203283171,26.0
akbarh arreola,2.0319787447533693,
akira corassani,2.3201392993598215,32.0
al iaquinta,2.688796959039486,34.0
alan baudot,0.9944942156375808,34.0
alan jouban,2.2337006931245535,37.0
alan omer,1.2966399241972577,26.0
alan patrick,2.351496140360182,
alatengheili,1.6145476593467523,32.0
albert duraev,2.1189264316633065,34.0
albert tumenov,2.7078615037190006,24.0
alberto uda,0.9264998203068981,32.0
alejandro perez,2.251717569140588,32.0
aleksa camur,1.0043518509612555,27.0
aleksandar rakic,2.325303788119808,
aleksei kunchenko,1.4787690170395118,
aleksei oleinik,2.638155012105724,45.0
alen amedovski,1.3743804703579485,
alessandro costa,1.2720196977231846,28.0
alessio di chirico,1.6699647935999788,32.0
alessio sakara,1.7057791569838858,29.0
alex caceres,2.0371126021000476,35.0
alex chambers,1.2988121178324574,
alex da silva,1.3930774279285654,
alex garcia,2.796479674091122,31.0
alex gorgees,0.9115306438714895,23.0
alex morono,1.948580879003929,34.0
alex munoz,1.5702799828086844,
alex nicholson,1.448592131822117,
alex oliveira,2.630354499252493,34.0
alex pereira,2.557386175514371,37.0
alex perez,2.837483522932648,32.0
alex reyes,1.1338086712202293,37.0
alex white,1.6942393028734624,31.0
alexa grasso,2.024449200381546,31.0
alexander gustafsson,3.5410407469726604,35.0
alexander hernandez,1.9988827956144954,32.0
alexander munoz,1.3220685506274215,33.0
alexander volkanovski,3.4966266108211514,35.0
alexander volkov,2.527373265057899,36.0
alexander yakovlev,1.8641387113039638,36.0
alexandr romanov,2.8862933976050025,33.0
alexandra albu,2.001991733469963,29.0
alexandre pantoja,2.6528820121268586,34.0
alexis davis,2.011156940109858,37.0
alexis dufresne,0.7295358153348628,24.0
ali alqaisi,0.8891852552867744,30.0
ali bagautinov,3.0024474057605905,
aliaskhab khizriev,2.549244941816503,31.0
alice ardelean,0.33889737604769143,
alistair overeem,3.104877910966976,40.0
aljamain sterling,3.2994174400697602,35.0
allan nascimento,1.6250104248211317,31.0
allen crowder,1.6583640784250746,29.0
alonzo menifield,2.137801357592606,36.0
alptekin ozkilic,1.3524800985879821,27.0
alvaro herrera,1.611867248619647,
amanda cooper,1.4739798141658769,27.0
amanda lemos,2.16852272382476,37.0
amanda nunes,3.158802954250384,35.0
amanda ribas,2.331042565913104,30.0
amir albazi,2.055843183693977,31.0
an ying wang,0.5459547596488034,23.0
anderson dos santos,1.3946931977513415,
anderson silva,4.886703281754,45.0
andre ewell,1.2726954451062489,33.0
andre fialho,1.476932892389281,29.0
andre fili,2.3271149392644563,34.0
andre lima,1.1026027702202001,
andre muniz,2.977963066141051,33.0
andre petroski,2.694113291109339,33.0
andre soukhamthath,1.6844046836139406,30.0
andrea lee,1.860712664923673,35.0
andreas michailidis,0.39679617586644905,33.0
andreas stahl,1.2375503421280438,27.0
andrei arlovski,3.3739472391064695,45.0
andrew holbrook,1.4428673332955344,
andrew sanchez,2.219945603814936,33.0
andy enz,2.048769457478206,
andy ogle,1.406672611063065,25.0
ange loosa,1.1940146952114201,31.0
angel pacheco,0.2722120052748847,32.0
angela hill,1.7936818250648439,39.0
angela magana,0.7864971604116142,
anshul jubli,1.469593678005236,
anthony birchak,1.5276965515715997,
anthony hamilton,1.659566496377392,36.0
anthony hernandez,2.751348392519908,31.0
anthony ivy,0.5090903890843923,30.0
anthony johnson,3.2769480257061687,32.0
anthony njokuani,2.2826405725909322,34.0
anthony perosh,2.2277739351847985,43.0
anthony pettis,3.050502850088011,33.0
anthony rocco martin,2.2919420918557916,
anthony smith,2.5548146309006228,36.0
anton kuivanen,1.9486210030651934,
anton turkalj,2.2415032250132727,
anton zafir,1.2118036888730555,
antonina shevchenko,1.5989739297263137,37.0
antonio arroyo,1.1927680839735788,32.0
antonio braga neto,1.4168796018952954,30.0
antonio carlos junior,2.803763205844077,30.0
antonio carvalho,2.208902483442186,33.0
antonio silva,2.2877418443231763,34.0
antonio trocoli,1.3130664693460083,
aori qileng,1.448333200874746,27.0
aoriqileng,1.0839404165607056,31.0
ariane carnelossi,1.0688102503852408,31.0
ariane da silva,1.7365103279262226,30.0
ariane lipski,1.1486261166027965,28.0
arman tsarukyan,2.484529025084972,27.0
armen petrosyan,1.7429547882240628,33.0
arnold allen,2.5935089765944044,35.0
artem lobov,2.1652831970321222,32.0
ashkan mokhtarian,1.018745859160957,
ashlee evans-smith,1.628954108514742,36.0
ashley yoder,1.370835422919557,35.0
askar askarov,2.1544325211484,29.0
askar mozharov,1.0501690752208532,
aspen ladd,2.147031681014929,27.0
asu almabayev,2.685183023906201,30.0
augusto mendes,2.1095737656345848,
augusto montano,1.093609914207967,31.0
augusto sakai,2.2070148734491672,31.0
austen lane,1.7349998010524195,36.0
austin arnett,1.070116180739324,27.0
austin hubbard,1.1965827880760103,32.0
austin lingo,0.8248582401627986,29.0
austin springer,1.9018756930702372,
azamat murzakanov,2.4428889988899254,35.0
azat maksum,1.423553435624868,29.0
baergeng jieleyisi,1.9298040590937526,28.0
barb honchak,1.5524511235981984,38.0
bartosz fabinski,2.3916185528196774,34.0
bassil hafez,2.081494924997222,32.0
batgerel danaa,1.814421796100723,33.0
bea malecki,1.4331386209689752,29.0
bec rawlings,2.1158530800267457,29.0
bekzat almakhan,1.2882827210106977,
belal muhammad,2.81401864543469,36.0
ben askren,2.199525815594227,
ben nguyen,2.1043780782184536,28.0
ben rothwell,2.481663729631852,40.0
ben saunders,2.0577346874973648,36.0
ben sosoli,0.8329678684198952,30.0
benardo sopaj,1.3489781270663805,
beneil dariush,2.7440500983236586,34.0
benito lopez,1.108323474970627,28.0
benny alloway,1.0073634809472551,
benoit saint denis,3.0662598690486806,28.0
benson henderson,3.559759958559871,31.0
bernardo magalhaes,0.8212797691072664,
bethe correia,2.106088245259114,38.0
bevon lewis,1.5672416927211446,
bharat kandare,0.838999211272976,
bill algeo,1.4703898978028764,35.0
billy quarantillo,2.3751953654094917,35.0
billy ray goff,2.55144108710154,25.0
bj penn,3.915386846111999,40.0
blagoy ivanov,1.8954311235478314,36.0
blake bilder,1.7071146370436405,
blood diamond,0.49534648505211176,35.0
bo nickal,3.7999838034484803,28.0
bobby green,2.7425183752714486,36.0
bobby moffett,2.109841717175446,
bobby nash,1.7372081437272824,27.0
bobby voelker,3.0841602956940726,
bogdan guskov,1.036711194506603,
bojan mihajlovic,1.8712752116375733,
bojan velickovic,1.8824508468106216,
bolaji oki,1.9597811219111636,28.0
boston salmon,0.518855963920133,28.0
brad katona,1.2510108132213822,32.0
brad pickett,2.205359040769695,38.0
brad riddell,1.673543991084951,31.0
brad tavares,2.5815541328666916,36.0
bradley scott,1.6769918482245587,28.0
brady hiestand,1.68020078850766,25.0
brandon davis,1.1262621358343488,32.0
brandon jenkins,0.8356863560839406,
brandon moreno,2.6877409925534024,30.0
brandon royval,2.157260357862974,32.0
brandon thatch,1.885281241445889,31.0
brandon vera,2.49664231938695,35.0
braxton smith,0.8671256599595625,33.0
brendan allen,2.8327976055379516,28.0
brendan schaub,2.6525475507413816,31.0
brendon marotte,0.7943513920690307,
brendson ribeiro,1.7816697778802333,
brett johns,2.6910686647685167,28.0
brian camozzi,1.3549118957240347,
brian ebersole,2.6177098371037006,34.0
brian foster,1.9178868032082694,
brian houston,1.650408836648967,
brian kelleher,2.038879126932031,37.0
brian melancon,2.30076076350178,
brian ortega,3.010768269134393,33.0
brianna van buren,1.4274144453176487,
brogan walker,0.09978423614367044,34.0
brok weaver,1.0228842243834155,28.0
bruna brasil,1.6839190842128269,30.0
brunno ferreira,2.0167618282162456,31.0
bruno korea,0.8427857710248939,24.0
bruno santos,0.870923588908405,26.0
bruno silva,1.7214828751023776,35.0
bruno souza,1.2518151265184092,
bryan barberena,2.289150434836139,34.0
bryan battle,2.103829769209662,30.0
bryan caraway,3.1625569725563603,34.0
bryce mitchell,2.479134965615076,30.0
bubba mcdaniel,2.261760874870002,30.0
cain velasquez,4.583670388353745,
caio borralho,2.242312335828692,31.0
caio machado,0.9507088106115431,30.0
caio magalhaes,2.617826833866651,
callan potter,1.1199699629647981,35.0
caludia gadelha,2.08810469276986,30.0
calvin kattar,2.3657696972262214,36.0
cameron else,0.5171315320397266,
cameron saaiman,1.884649727017346,23.0
cameron smotherman,0.9693431630149314,
cameron vancamp,0.7236135577668144,
caolan loughran,1.4500169575866968,
carl deaton,0.9504017276458456,
carla esparza,2.7293499084705144,36.0
carli judice,0.5547626604145182,25.0
carlo pedersoli,2.52818455737735,
carlos candelario,1.0823850657225638,31.0
carlos condit,3.4145286579576535,37.0
carlos felipe,1.0464056512236801,26.0
carlos hernandez,1.2940223701958724,31.0
carlos huachin,2.049797836723002,
carlos leal,1.7539774534208348,
carlos mota,0.8003385893304619,
carlos prates,2.3263576805272277,
carlos ulberg,2.198240358143239,34.0
carlos vera,1.2953531769843702,
carls john de tomas,1.0527872969376413,21.0
carlston harris,2.169728306188982,36.0
carlton minus,0.47766229000920607,27.0
casey kenney,1.6377306221243733,30.0
casey o'neill,2.4192074161636334,26.0
cat zingano,1.7438704513843093,36.0
cesar almeida,1.2708892628970423,36.0
cezar ferreira,2.0349102184292045,34.0
chad anheliger,1.4675198357147057,37.0
chad laprise,2.9962122425437943,31.0
chad mendes,3.1128921636573192,33.0
chael sonnen,3.103644718867539,
chan sung jung,2.7303632949591456,36.0
chance rencountre,1.7747689971016367,
changho lee,2.79139389863515,
chanmi jeon,0.8114356345707611,
charalampos grigoriou,1.7235923407301588,32.0
charles byrd,1.5808078956379843,36.0
charles johnson,1.4584180552352086,33.0
charles jourdain,1.657079774175438,28.0
charles oliveira,3.1812005436988064,36.0
charles radtke,1.692389328581923,34.0
charles rosa,2.026868026492252,35.0
charlie brenneman,1.2711241851304995,32.0
charlie campbell,1.711625019777558,
charlie ontiveros,1.009467204616729,
chas skelly,2.1565156377851338,36.0
chase hooper,2.2940834966146078,25.0
chase sherman,1.5689822912567992,33.0
chelsea chandler,1.56662117148331,
chepe mariscal,2.1735105002755706,
cheyanne buys,0.667839634270741,26.0
cheyanne vlismas,1.4534598744642881,27.0
chico camus,0.9151856351391892,28.0
chidi njokuani,1.750676260011206,35.0
chris barnett,1.309520816742566,38.0
chris camozzi,1.7208342245332124,28.0
chris cariaso,2.602319749006088,32.0
chris clements,1.8775882084947189,37.0
chris cope,2.025039457561454,
chris curtis,2.1723417278565256,36.0
chris daukaus,1.6765278529888237,33.0
chris dempsey,1.357598245089401,
chris duncan,2.481532231918483,31.0
chris fishgold,2.1003283876266248,
chris gruetzemacher,1.6648016973543478,35.0
chris gutierrez,1.5849027297954756,33.0
chris holdsworth,0.8871664108936388,26.0
chris leben,2.1589647602344284,33.0
chris lytle,2.635355450439203,35.0
chris padilla,2.050733455532991,
chris wade,2.218749041623655,28.0
chris weidman,3.4910245718823703,40.0
christian aguilera,1.2035067239545256,29.0
christian leroy duncan,1.8929108700244093,29.0
christian rodriguez,1.7077370062644723,26.0
christina marks,0.862227936734492,32.0
christos giagos,1.774480185366019,34.0
cindy dandois,1.6905715383170008,
ciryl gane,2.789182315366593,36.0
cj keith,0.6884382685685531,
cj vergara,1.3165017535475605,33.0
claudia gadelha,2.9101612861073,31.0
claudio puelles,2.4511030958612743,27.0
claudio ribeiro,1.736879219990599,31.0
claudio silva,2.5587381844013075,39.0
clay collard,2.0966124668137023,
clay guida,3.2078087803461344,42.0
clayton carpenter,1.689121806542142,28.0
clifford starks,0.8796062662360604,
clint hester,2.5974904142506166,
cm punk,1.264661270443779,39.0
cody brundage,1.7584187652005991,29.0
cody donovan,1.6104703020614441,33.0
cody durden,2.0823449650756407,33.0
cody east,0.7589698060113278,28.0
cody garbrandt,2.910716307705637,32.0
cody gibson,1.2594343027751949,37.0
cody haddon,2.1920297639671737,
cody stamann,2.3833026331282445,35.0
colby covington,3.1382660272127634,35.0
cole escovedo,0.5950734819262389,
cole miller,2.9356653722706154,32.0
cole smith,0.7474580493475962,30.0
cole williams,0.7326584643246423,36.0
collin anglin,1.5263826520755273,28.0
colton smith,2.417814534130616,26.0
connor matthews,1.2415855731692198,
conor mcgregor,3.0955652788960037,32.0
corey anderson,3.1811395727875236,30.0
cortavious romious,1.1702885742762834,
cortney casey,1.9255366792740367,35.0
cory mckenna,1.186340552408545,25.0
cory sandhagen,2.7296400078299037,32.0
costas philippou,2.471106831719236,
court mcgee,2.903953829885414,39.0
craig white,1.922247631749927,
cris cyborg,3.0707957779469335,34.0
cristian quinonez,1.7557614139410633,27.0
cristina stanciu,1.1856774515274908,
cub swanson,2.9359348096540945,40.0
curtis blaydes,3.1689417782710265,33.0
curtis millender,2.7941874336764383,31.0
cynthia calvillo,2.309204036333885,35.0
cyril asker,1.2861214503440033,32.0
cyrille diabate,1.4437797587602932,40.0
da un jung,1.9999744076374117,31.0
da woon jung,2.2865832623804803,30.0
da'mon blackshear,2.083659658243223,30.0
da-un jung,2.9116932884174744,27.0
daichi abe,2.5122411073739235,
dakota bush,1.2892656995703162,27.0
dalcha lungiambula,1.6436471966199195,35.0
damacio page,1.0883166536216864,29.0
damarques johnson,1.360268935080426,30.0
damian grabowski,1.1326344633609047,37.0
damian stasiak,1.967907698953188,27.0
damien brown,1.6895217867773478,32.0
damir hadzovic,1.8239947676372306,35.0
damir ismagulov,1.7220811983315312,32.0
damon jackson,2.1920843645000003,36.0
dan argueta,1.8624279965157535,31.0
dan hardy,2.3184506095242994,28.0
dan henderson,2.6330780265091254,
dan hooker,2.546867810166052,34.0
dan ige,2.428909646892779,33.0
dan moret,1.562504363429545,
dan stittgen,0.8953569375289989,31.0
danaa batgerel,0.4503486362941295,31.0
daniel barez,1.6577373433318692,35.0
daniel cormier,3.771174200700815,39.0
daniel jolly,0.5567071853930914,32.0
daniel kelly,2.8387945884015267,39.0
daniel lacerda,1.2625376516562246,27.0
daniel marcos,1.5300676061996625,
daniel omielanczuk,2.20497426049187,34.0
daniel pineda,1.8972989546424324,39.0
daniel rodriguez,2.0480284995825473,37.0
daniel santos,1.5161432639086876,28.0
daniel spitz,1.2463604714308558,29.0
daniel teymur,1.4387501240055907,
daniel zellhuber,1.0781905305930892,25.0
danielle taylor,1.7351046968778077,28.0
danilo belluardo,0.8168038817786129,
danilo marques,2.2199644462034747,
danny barlow,1.4711151698678355,29.0
danny castillo,2.874206675478605,35.0
danny chavez,1.0877518042455225,
danny downes,1.6536211552195892,25.0
danny henry,2.388163862453898,31.0
danny roberts,2.004655796380132,36.0
danny silva,1.7411698367928223,
danyelle wolf,1.092632072732813,
daria zhelezniakova,1.1565450256811904,
darian weeks,1.313029861282649,28.0
darko stosic,1.7775310484200346,27.0
daron cruickshank,2.5983819731150346,29.0
darrell horcher,0.8762374293950663,
darren elkins,2.958986700240799,40.0
darren stewart,1.3819829549839784,30.0
darren till,2.2970287964619374,29.0
darrick minner,1.7964049604409875,32.0
darrius flowers,1.8018256571162277,
dashon johnson,0.8314520414616553,
davey grant,1.7357493228478607,37.0
davi ramos,2.1115422512536863,33.0
david branch,2.1414312495408256,37.0
david dvorak,0.9782641194946717,31.0
david michaud,0.8822443436253862,25.0
david onama,1.3408725208642407,30.0
david teymur,2.8314420710191,29.0
david zawada,1.9832380351762386,
dean barry,0.2818851645157951,29.0
deiveson figueiredo,2.978368998945971,36.0
delson heleno,0.8911182754011414,34.0
demetrious johnson,4.708194223368217,30.0
demian maia,3.4892612995495838,43.0
denis tiuliulin,1.2191668054633822,36.0
denise gomes,1.5406557505118412,24.0
dennis bermudez,3.6631151169269,31.0
dennis buzukja,1.2836502015921663,26.0
dennis hallman,2.3360701614044332,
dennis siver,2.9566473216844384,35.0
denys bondar,1.3124474616505477,
dequan townsend,0.3916961399451949,34.0
derek brunson,3.1241173492342207,39.0
deron winn,1.8649637769529988,
derrick,1.6036184091824826,
derrick krantz,1.9999917652708104,
derrick lewis,2.7966412482207756,39.0
desmond green,1.6803298340938473,29.0
devin clark,1.8959504548973394,33.0
devin powell,0.899061406791916,28.0
devonte smith,1.626639705546607,28.0
dhiego lima,2.3462274762743425,32.0
diana belbita,0.9699408833636904,27.0
diego brandao,2.59789612818049,28.0
diego ferreira,2.442334977815846,39.0
diego lopes,2.089575270021682,29.0
diego rivas,1.5359075309390227,26.0
diego sanchez,3.6243970444143194,38.0
dione barbosa,2.4364997413456573,32.0
domingo pilarte,1.246339942727812,31.0
dominic waters,1.5252384699360477,
dominick cruz,4.259395470706873,37.0
dominick reyes,2.503953137108091,34.0
dominique steele,2.0520771352548013,
don madge,1.7996172429664148,28.0
don shainis,1.6124968737472547,
don'tale mayes,1.5373969196787645,32.0
donald cerrone,3.6383969207949503,39.0
dong hyun kim,2.9585994715108024,35.0
dong hyun ma,2.361802385056536,
donghun choi,1.5808069425028959,
dongi yang,2.3595823393953257,30.0
dooho choi,2.074968005371344,33.0
douglas silva de andrade,1.8896850475130056,38.0
drakkar klose,1.9153324664714724,36.0
drako rodriguez,1.5274538736381074,
drew dober,2.411722220022763,35.0
dricus du plessis,3.2406354869451435,30.0
duane ludwig,0.8163234743796033,31.0
duda santana,0.8751265591646259,
dusko todorovic,1.4161529364328596,30.0
dustin jacoby,1.7411393838953408,36.0
dustin ortiz,3.1168816348777666,29.0
dustin poirier,3.40153339999174,35.0
dustin stoltzfus,1.953062192449266,32.0
dwight grant,1.51415310495357,37.0
dylan andrews,1.5257533649045367,34.0
dylan budka,1.8104019081932041,24.0
ed herman,2.8292921042505563,42.0
eddie alvarez,2.922840546535074,34.0
eddie wineland,2.253144340929497,37.0
edgar chairez,1.349546888171012,28.0
edmen shahbazyan,2.896823401707965,26.0
edson barboza,2.799074271391576,38.0
eduarda moura,2.8837951372778994,30.0
eduardo garagorri,1.4122798528512792,
edward faaloloto,0.8444955197225247,
edwin figueroa,1.6198186549858788,
efrain escudero,2.2264061857316637,30.0
elias garcia,0.46543307889554675,26.0
elias theodorou,3.1723860738947147,30.0
elise reed,0.8457142346265116,31.0
elizabeth phillips,2.289709640155248,
elizeu dos santos,2.7055295336896696,
elizeu zaleski dos santos,2.4433061258121596,37.0
elves brener,1.8679033513865355,26.0
elvis mutapcic,1.4797006502057237,30.0
emil meek,2.2041347108551834,
emily ducote,1.0560506073655065,30.0
emily peters kagan,0.8335158776696847,33.0
emily whitmire,0.9781553090269843,30.0
enrique barzola,3.0575248330865668,30.0
eric shelton,1.6646061650684907,27.0
eric spicely,1.367600587187588,31.0
eric wisely,1.3416525557739043,
erick gonzalez,2.0516896436510716,31.0
erick montano,1.7037597066868277,30.0
erick silva,2.2933459230588946,32.0
erik koch,1.9823741302152018,29.0
erik perez,2.9394178094510357,26.0
erik silva,2.1169436284251164,36.0
erin blanchfield,2.3403657992880564,25.0
ernest chavez,1.9489087232840157,
ernesta kareckaite,1.2846641770938603,
eryk anders,2.157781353215403,37.0
esteban ribovics,1.4990346307802902,28.0
estevan payan,1.5155843562005122,
evan dunham,3.5619301876131906,
evan elder,0.8641563171331743,27.0
fabio cherant,0.9321014233406987,
fabio maldonado,2.7603868226676225,34.0
fabricio camoes,2.3142494631692663,
fabricio werdum,3.691512674486311,41.0
fares ziam,1.1338905782148845,27.0
farid basharat,1.8682320032204327,27.0
fatima kline,1.1948421101322082,
felice herrig,2.247816184094553,37.0
felicia spencer,1.992045037780048,30.0
felipe arantes,2.1570885521806593,30.0
felipe bunes,1.945720313193828,
felipe colares,1.5790000378334565,
felipe dos santos,1.2204209337290868,23.0
felipe lima,1.4408522037089477,
felipe silva,0.8030864930021759,
feng xiaocan,1.9551299408034142,
fernando padilla,1.3929584854356436,27.0
fernie garcia,1.2411962054106604,31.0
forrest griffin,3.2666806888657294,
francimar barroso,2.04325319496026,37.0
francis carmont,3.071079014817565,
francis marshall,1.6020646426719471,25.0
francis ngannou,2.6320884483183944,35.0
francisco figueiredo,1.1019172075693393,32.0
francisco prado,1.1484308696349348,
francisco rivera,2.253908879490066,33.0
francisco trinaldo,2.559198309740757,44.0
frank camacho,2.441983022769648,32.0
frank mir,3.604292301246346,
frankie edgar,4.3244310806316815,41.0
frankie perez,1.9173458854223027,27.0
frankie saenz,2.490272236994011,39.0
